Number	labels	theta	radius	X	Y	Z	sph_theta	sph_phi	sph_radius	type	
1	Fp1	-18	0.511	80.8	26.3	-2.97	 18	 -2	 85		
2	Fpz	  0	0.511	84.9	 -0	-2.97	 -0	 -2	 85		
3	Fp2	 18	0.511	80.8	-26.3	-2.97	-18	 -2	 85		
4	AF7	-38	0.511	66.9	52.3	-2.97	 38	 -2	 85		
5	AF3	-23	0.411	75.2	31.9	23.4	 23	 16	 85		
6	AFz	  0	0.383	79.4	 -0	30.5	 -0	 21	 85		
7	AF4	 23	0.411	75.2	-31.9	23.4	-23	 16	 85		
8	AF8	 38	0.511	66.9	-52.3	-2.97	-38	 -2	 85		
9	F7	-54	0.511	49.9	68.7	-2.97	 54	 -2	 85		
10	F5	-49	0.417	53.9	 62	 22	 49	 15	 85		
11	F3	-39	0.333	57.2	46.3	42.5	 39	 30	 85		
12	F1	-22	0.278	60.4	24.4	54.6	 22	 40	 85		
13	Fz	  0	0.256	61.1	 -0	 59	 -0	 44	 85		
14	F2	 22	0.278	60.4	-24.4	54.6	-22	 40	 85		
15	F4	 39	0.333	57.2	-46.3	42.5	-39	 30	 85		
16	F6	 49	0.417	53.9	-62	 22	-49	 15	 85		
17	F8	 54	0.511	49.9	-68.7	-2.97	-54	 -2	 85		
18	FT7	-72	0.511	26.3	80.8	-2.97	 72	 -2	 85		
19	FC5	-69	0.394	28.8	 75	27.7	 69	 19	 85		
20	FC3	-62	0.278	30.6	57.5	54.6	 62	 40	 85		
21	FC1	-45	0.178	31.9	31.9	72.1	 45	 58	 85		
22	FCz	  0	0.128	33.2	 -0	78.2	 -0	 67	 85		
23	FC2	 45	0.178	31.9	-31.9	72.1	-45	 58	 85		
24	FC4	 62	0.278	30.6	-57.5	54.6	-62	 40	 85		
25	FC6	 69	0.394	28.8	-75	27.7	-69	 19	 85		
26	FT8	 72	0.511	26.3	-80.8	-2.97	-72	 -2	 85		
27	FT10	 72	0.639	23.8	-73.3	-35.9	-72	-25	 85		
28	T7	-90	0.511	5.2e-15	84.9	-2.97	 90	 -2	 85		
29	C5	-90	0.383	4.86e-15	79.4	30.5	 90	 21	 85		
30	C3	-90	0.256	3.74e-15	61.1	 59	 90	 44	 85		
31	C1	-90	0.128	2.03e-15	33.2	78.2	 90	 67	 85		
32	Cz	 90	  0	3.19e-31	-5.2e-15	 85	-90	 90	 85		
33	C2	 90	0.128	2.03e-15	-33.2	78.2	-90	 67	 85		
34	C4	 90	0.256	3.74e-15	-61.1	 59	-90	 44	 85		
35	C6	 90	0.383	4.86e-15	-79.4	30.5	-90	 21	 85		
36	T8	 90	0.511	5.2e-15	-84.9	-2.97	-90	 -2	 85		
37	TP9	-108	0.639	-23.8	73.3	-35.9	108	-25	 85		
38	TP7	-108	0.511	-26.3	80.8	-2.97	108	 -2	 85		
39	CP5	-111	0.394	-28.8	 75	27.7	111	 19	 85		
40	CP3	-118	0.278	-30.6	57.5	54.6	118	 40	 85		
41	CP1	-135	0.178	-31.9	31.9	72.1	135	 58	 85		
42	CPz	180	0.128	-33.2	-4.07e-15	78.2	-180	 67	 85		
43	CP2	135	0.178	-31.9	-31.9	72.1	-135	 58	 85		
44	CP4	118	0.278	-30.6	-57.5	54.6	-118	 40	 85		
45	CP6	111	0.394	-28.8	-75	27.7	-111	 19	 85		
46	TP8	108	0.511	-26.3	-80.8	-2.97	-108	 -2	 85		
47	TP10	108	0.639	-23.8	-73.3	-35.9	-108	-25	 85		
48	P7	-126	0.511	-49.9	68.7	-2.97	126	 -2	 85		
49	P5	-131	0.417	-53.9	 62	 22	131	 15	 85		
50	P3	-141	0.333	-57.2	46.3	42.5	141	 30	 85		
51	P1	-158	0.278	-60.4	24.4	54.6	158	 40	 85		
52	Pz	180	0.256	-61.1	-7.49e-15	 59	-180	 44	 85		
53	P2	158	0.278	-60.4	-24.4	54.6	-158	 40	 85		
54	P4	141	0.333	-57.2	-46.3	42.5	-141	 30	 85		
55	P6	131	0.417	-53.9	-62	 22	-131	 15	 85		
56	P8	126	0.511	-49.9	-68.7	-2.97	-126	 -2	 85		
57	PO7	-144	0.511	-68.7	49.9	-2.97	144	 -2	 85		
58	PO3	-157	0.411	-75.2	31.9	23.4	157	 16	 85		
59	POz	180	0.383	-79.4	-9.72e-15	30.5	-180	 21	 85		
60	PO4	157	0.411	-75.2	-31.9	23.4	-157	 16	 85		
61	PO8	144	0.511	-68.7	-49.9	-2.97	-144	 -2	 85		
62	O1	-162	0.511	-80.8	26.3	-2.97	162	 -2	 85		
63	Oz	180	0.511	-84.9	-1.04e-14	-2.97	-180	 -2	 85		
64	O2	162	0.511	-80.8	-26.3	-2.97	-162	 -2	 85		
